match,match_ID,teamInnings,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
Sri Lanka VS Ireland,Test # 2503,Innings 2,Ben White,34,1,203,0,5.97,102,14,9,0,1
Sri Lanka VS Ireland,Test # 2503,Innings 2,Harry Tector,8,0,45,0,5.62,23,4,1,0,0
England VS Ireland,Test # 2504,Innings 1,Stuart Broad,17,5,51,5,3.00,83,9,0,0,1
England VS Ireland,Test # 2504,Innings 1,Matthew Potts,12.2,4,36,2,2.91,58,6,0,0,0
England VS Ireland,Test # 2504,Innings 1,Josh Tongue,13,4,40,0,3.07,61,6,0,0,0
England VS Ireland,Test # 2504,Innings 1,Jack Leach,14,2,35,3,2.50,64,4,0,0,0
England VS Ireland,Test # 2504,Innings 2,Mark Adair,20,2,127,0,6.35,71,18,0,2,0
England VS Ireland,Test # 2504,Innings 2,Graham Hume,17,0,85,1,5.00,66,12,0,0,0
England VS Ireland,Test # 2504,Innings 2,Fionn Hand,19,2,113,1,5.94,58,12,1,1,0
England VS Ireland,Test # 2504,Innings 2,Curtis Campher,13,0,88,0,6.76,33,12,0,0,1
England VS Ireland,Test # 2504,Innings 2,Andy McBrine,13.4,0,99,2,7.24,34,8,4,0,0
Australia VS India,Test # 2505,Innings 1,Mohammed Shami,29,4,122,2,4.20,126,18,1,1,2
Australia VS India,Test # 2505,Innings 1,Mohammed Siraj,28.3,4,108,4,3.78,125,15,0,3,1
Australia VS India,Test # 2505,Innings 1,Umesh Yadav,23,5,77,0,3.34,104,13,0,0,0
Australia VS India,Test # 2505,Innings 1,Shardul Thakur,23,4,83,2,3.60,99,12,0,0,4
Australia VS India,Test # 2505,Innings 1,Ravindra Jadeja,18,2,56,1,3.11,76,6,1,0,0
Australia VS India,Test # 2505,Innings 2,Mitchell Starc,13.4,0,71,2,5.19,48,10,0,0,0
Australia VS India,Test # 2505,Innings 2,Pat Cummins,20,2,83,3,4.15,86,10,1,0,6
Australia VS India,Test # 2505,Innings 2,Scott Boland,20,6,59,2,2.95,95,8,1,0,0
Australia VS India,Test # 2505,Innings 2,Cameron Green,12,1,44,2,3.66,48,4,0,1,2
Australia VS India,Test # 2505,Innings 2,Nathan Lyon,4,0,19,1,4.75,14,3,0,0,0
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Yamin Ahmadzai,10,1,39,2,3.90,45,7,0,0,1
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Nijat Masood,16,2,79,5,4.93,67,11,1,1,4
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Karim Janat,11,3,33,0,3.00,53,4,1,1,0
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Zahir Khan,16,0,98,1,6.12,57,13,0,1,8
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Amir Hamza,24,1,85,1,3.54,94,10,0,0,3
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Hashmatullah Shahidi,3,0,9,0,3.00,11,0,0,0,0
Bangladesh VS Afghanistan,Test # 2506,Innings 1,Rahmat Shah,6,1,30,1,5.00,20,1,2,0,0
Bangladesh VS Afghanistan,Test # 2506,Innings 2,Taskin Ahmed,7,0,48,0,6.85,29,9,0,0,4
Bangladesh VS Afghanistan,Test # 2506,Innings 2,Shoriful Islam,8,2,28,2,3.50,34,4,0,0,0
Bangladesh VS Afghanistan,Test # 2506,Innings 2,Ebadot Hossain,10,1,47,4,4.70,40,7,0,0,0
Bangladesh VS Afghanistan,Test # 2506,Innings 2,Taijul Islam,5,0,7,2,1.40,23,0,0,0,0
Bangladesh VS Afghanistan,Test # 2506,Innings 2,Mehidy Hasan Miraz,9,1,15,2,1.66,43,1,0,0,0
England VS Australia,Test # 2507,Innings 1,Pat Cummins,14,0,59,0,4.21,50,4,2,0,0
England VS Australia,Test # 2507,Innings 1,Josh Hazlewood,15,1,61,2,4.06,58,8,0,0,0
England VS Australia,Test # 2507,Innings 1,Scott Boland,14,0,86,1,6.14,42,10,1,0,0
England VS Australia,Test # 2507,Innings 1,Nathan Lyon,29,1,149,4,5.13,86,14,2,0,0
England VS Australia,Test # 2507,Innings 1,Cameron Green,6,0,32,1,5.33,22,4,0,0,3
England VS Australia,Test # 2507,Innings 2,Stuart Broad,23,4,68,3,2.95,111,7,1,0,7
England VS Australia,Test # 2507,Innings 2,Ollie Robinson,22.1,5,55,3,2.48,104,4,0,1,1
England VS Australia,Test # 2507,Innings 2,James Anderson,21,5,53,1,2.52,100,6,0,0,0
England VS Australia,Test # 2507,Innings 2,Harry Brook,3,1,5,0,1.66,14,0,0,0,1
England VS Australia,Test # 2507,Innings 2,Moeen Ali,33,4,147,2,4.45,144,15,8,0,0
England VS Australia,Test # 2507,Innings 2,Ben Stokes,7,0,33,1,4.71,32,4,0,0,6
England VS Australia,Test # 2507,Innings 2,Joe Root,7,3,15,0,2.14,34,2,0,0,0
